Logger:         	Automatically truncated logfile to 1048576
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 1 incoming messages, 0 left
MsgIdHandler64: 	Given message id (7073904240962635777) is lower than or equal to the current limit (7073904240962836481). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1498319567
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1362553581
Session:        	Garbage collected 4 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 2 incoming messages, 0 left
Session:        	Garbage collected 1 outgoing messages, 1 left
Session:        	Garbage collected 2 incoming messages, 0 left
Session:        	Garbage collected 3 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904258014843905) is lower than or equal to the current limit (7073904258014962689). Please sync your date using NTP.
MsgIdHandler64: 	Given message id (7073904258014956545) is bigger than or equal to the current limit (7073904258014800897). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1441778080
Session:        	Garbage collected 5 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
MsgIdHandler64: 	Given message id (7073904261378756609) is bigger than or equal to the current limit (7073904261378592769). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
MsgIdHandler64: 	Given message id (7073904263638315009) is bigger than or equal to the current limit (7073904263638247425). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 6 incoming messages, 0 left
Session:        	Garbage collected 1 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 1 incoming messages, 0 left
Session:        	Garbage collected 1 outgoing messages, 1 left
MsgIdHandler64: 	Given message id (7073904274830735361) is bigger than or equal to the current limit (7073904274830648321). Please sync your date using NTP.
Session:        	Garbage collected 6 incoming messages, 0 left
Session:        	Garbage collected 5 outgoing messages, 1 left
MsgIdHandler64: 	Given message id (7073904277689979905) is lower than or equal to the current limit (7073904277690164225). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1498319567
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 4 incoming messages, 0 left
Session:        	Garbage collected 1 outgoing messages, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 2 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1362553581
Session:        	Garbage collected 2 incoming messages, 0 left
Session:        	Garbage collected 1 incoming messages, 0 left
Session:        	Garbage collected 3 outgoing messages, 1 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 3 incoming messages, 0 left
Session:        	Garbage collected 4 outgoing messages, 1 left
MsgIdHandler64: 	Given message id (7073904306032370689) is bigger than or equal to the current limit (7073904306032086017). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 6 incoming messages, 0 left
Session:        	Garbage collected 4 outgoing messages, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
